window_start,anomaly_score,pred_label
365,2.1646554e-18,0
366,1.3501641e-19,0
367,9.996864e-18,0
368,1.2068959e-18,0
369,2.4666112e-19,0
370,2.0698158e-14,0
371,1.0078543e-12,0
372,6.2494416e-13,0
373,1.4116639e-14,0
374,4.5107787e-15,0
375,1.4240381e-15,0
376,1.9973869e-14,0
377,2.6621576e-16,0
378,2.740753e-14,0
379,5.6476816e-19,0
380,9.951534e-21,0
381,2.4227376e-17,0
382,3.4798752e-18,0
383,2.5789713e-17,0
384,3.5359936e-20,0
385,1.7979033e-21,0
386,3.8419e-14,0
387,2.0205432e-13,0
388,6.237957e-14,0
389,9.896188e-13,0
390,5.4298827e-15,0
391,6.800373e-14,0
392,1.7078603e-13,0
393,1.135672e-14,0
394,9.337141e-17,0
395,9.5428375e-15,0
396,1.612156e-17,0
397,7.94841e-14,0
398,2.8803904e-12,0
399,2.0623106e-12,0
400,8.3184895e-15,0
401,1.14527094e-11,0
402,1.4419942e-13,0
403,1.3088264e-15,0
404,6.648153e-14,0
405,2.8142015e-17,0
406,3.0344786e-21,0
407,5.5400322e-18,0
408,7.763588e-18,0
409,1.294322e-17,0
410,2.8398337e-18,0
411,3.7822313e-16,0
412,1.5786434e-15,0
413,5.5084734e-15,0
414,1.4360156e-14,0
415,9.259742e-18,0
416,2.0694148e-20,0
417,9.61499e-14,0
418,1.2989338e-14,0
419,1.6051314e-15,0
420,4.9476856e-13,0
421,9.426265e-15,0
422,7.8027424e-20,0
423,9.673855e-18,0
424,7.220637e-17,0
425,1.4032424e-18,0
426,6.2992663e-19,0
427,1.9849641e-14,0
428,8.314016e-15,0
429,7.7953535e-15,0
430,5.0310647e-14,0
431,3.1226662e-15,0
432,1.4574218e-19,0
433,3.603686e-20,0
434,1.24634615e-20,0
435,8.9693966e-20,0
436,1.4506442e-18,0
437,5.313323e-19,0
438,1.3830902e-18,0
439,6.9273196e-18,0
440,1.3764682e-19,0
441,3.2451313e-20,0
442,3.4371148e-19,0
443,3.3125966e-20,0
444,5.1118566e-20,0
445,1.4071939e-17,0
446,4.237102e-20,0
447,1.0321386e-20,0
448,6.9648164e-17,0
449,2.3580808e-17,0
450,1.1906978e-19,0
451,1.5092529e-20,0
452,2.6110912e-19,0
453,1.3279192e-19,0
454,9.501124e-18,0
455,2.9300836e-16,0
456,7.0571953e-16,0
457,3.333084e-18,0
458,2.3484217e-17,0
459,1.66186e-17,0
460,1.2243494e-19,0
461,4.591272e-18,0
462,9.633524e-19,0
463,1.1656656e-18,0
464,4.821439e-19,0
465,3.3633672e-18,0
466,3.4168668e-18,0
467,8.224675e-17,0
468,2.3173826e-16,0
469,5.583468e-16,0
470,1.9205035e-16,0
471,3.4571571e-18,0
472,7.4242496e-18,0
473,1.8745781e-15,0
474,5.850465e-16,0
475,1.9427425e-15,0
476,6.84015e-15,0
477,1.979987e-15,0
478,2.2646919e-18,0
479,8.322723e-20,0
480,1.1876266e-19,0
481,4.8409184e-19,0
482,9.989664e-13,0
483,5.671774e-12,0
484,3.1789682e-12,0
485,1.2407252e-08,0
486,6.9556816e-10,0
487,1.584047e-13,0
488,5.6476148e-12,0
489,4.4783957e-13,0
490,6.25914e-13,0
491,1.5662375e-13,0
492,4.8400024e-16,0
493,1.9488236e-13,0
494,3.2619493e-12,0
495,4.8565167e-13,0
496,2.411023e-14,0
497,2.2477763e-13,0
498,9.991603e-14,0
499,1.7565619e-15,0
500,2.2503393e-15,0
501,1.2866235e-16,0
502,1.5811537e-19,0
503,4.3623464e-17,0
504,1.35785065e-14,0
505,5.0402082e-14,0
506,1.12783026e-13,0
507,1.02494825e-17,0
